 1 	  1 	 1.04 	 0.6 	 	 1.03 	 94.8718 	 0.01 	 7.39093 	 0.037037 
 1 	  1 	 1.04 	 0.6 	 	 1.04 	 95.3846 	 0.01 	 7.32784 	 0.0740741 
 1 	  1 	 1.04 	 0.6 	 	 1.05 	 95.3846 	 0.01 	 9.0187 	 0.111111 
 1 	  1 	 1.04 	 0.7 	 	 1.03 	 95.3846 	 0.01 	 9.01158 	 0.148148 
 1 	  1 	 1.04 	 0.7 	 	 1.04 	 95.3846 	 0.01 	 9.29641 	 0.185185 
 1 	  1 	 1.04 	 0.7 	 	 1.05 	 95.3846 	 0.01 	 9.03119 	 0.222222 
 1 	  1 	 1.04 	 0.8 	 	 1.03 	 94.8718 	 0.01 	 9.16649 	 0.259259 
 1 	  1 	 1.04 	 0.8 	 	 1.04 	 95.3846 	 0.01 	 9.09814 	 0.296296 
 1 	  1 	 1.04 	 0.8 	 	 1.05 	 95.3846 	 0.01 	 9.10099 	 0.333333 
 1 	  1 	 1.05 	 0.6 	 	 1.03 	 94.8718 	 0.01 	 7.34375 	 0.37037 
 1 	  1 	 1.05 	 0.6 	 	 1.04 	 94.359 	 0.01 	 7.47802 	 0.407407 
 1 	  1 	 1.05 	 0.6 	 	 1.05 	 95.3846 	 0.01 	 9.00874 	 0.444444 
 1 	  1 	 1.05 	 0.7 	 	 1.03 	 93.8462 	 0.01 	 7.8444 	 0.481481 
 1 	  1 	 1.05 	 0.7 	 	 1.04 	 95.8974 	 0.01 	 7.74522 	 0.518519 
 1 	  1 	 1.05 	 0.7 	 	 1.05 	 94.359 	 0.01 	 9.3545 	 0.555556 
 1 	  1 	 1.05 	 0.8 	 	 1.03 	 95.3846 	 0.01 	 9.11887 	 0.592593 
 1 	  1 	 1.05 	 0.8 	 	 1.04 	 95.3846 	 0.01 	 9.45204 	 0.62963 
 1 	  1 	 1.05 	 0.8 	 	 1.05 	 94.359 	 0.01 	 9.68066 	 0.666667 
 1 	  1 	 1.06 	 0.6 	 	 1.03 	 94.8718 	 0.01 	 7.39693 	 0.703704 
 1 	  1 	 1.06 	 0.6 	 	 1.04 	 94.8718 	 0.01 	 9.68407 	 0.740741 
 1 	  1 	 1.06 	 0.6 	 	 1.05 	 93.8462 	 0.01 	 7.57983 	 0.777778 
 1 	  1 	 1.06 	 0.7 	 	 1.03 	 94.8718 	 0.01 	 9.44725 	 0.814815 
 1 	  1 	 1.06 	 0.7 	 	 1.04 	 94.359 	 0.01 	 7.32718 	 0.851852 
 1 	  1 	 1.06 	 0.7 	 	 1.05 	 94.359 	 0.01 	 8.08531 	 0.888889 
